PlayerName,Affiliation,League,Age,Position,Games Played,Market Value (Euros),Last Updated Date,Highest Market Value (Euros),Highest Market Value Date
Anthony Modeste,1. FC Koln,Bundesliga,31,Forward ,1,7000000,"Last update: Jun 12, 2019",20000000,6/19/2017
Benno Schmitz,1. FC Koln,Bundesliga,25,Defender ,0,1000000,"Last update: Jun 12, 2019",1750000,3/22/2017
Birger Verstraete,1. FC Koln,Bundesliga,25,Midfielder ,0,4000000,"Last update: Jun 10, 2019",4000000,09/11/2018
Brady Scott,1. FC Koln,Bundesliga,20,Goalkeeper,14,100000,"Last update: Jun 12, 2019",100000,08/03/2018
Christian Clemens,1. FC Koln,Bundesliga,28,Midfielder ,15,1750000,"Last update: Jun 12, 2019",3500000,6/29/2013
Darko Churlinov,1. FC Koln,Bundesliga,19,Forward ,6,400000,"Last update: Jul 28, 2019",,
Dominick Drexler,1. FC Koln,Bundesliga,29,Midfielder ,1,4000000,"Last update: Jun 12, 2019",4000000,8/21/2018
Ellyes Skhiri,1. FC Koln,Bundesliga,24,Midfielder ,1,12000000,"Last update: Jun 3, 2019",12000000,06/03/2019
Florian Kainz,1. FC Koln,Bundesliga,27,Forward ,0,3000000,"Last update: Jun 12, 2019",4500000,06/01/2016
Ismail Jakobs,1. FC Koln,Bundesliga,20,Defender ,0,100000,"Last update: Jul 15, 2019",100000,7/15/2019
Jhon Cordoba,1. FC Koln,Bundesliga,26,Forward ,1,6500000,"Last update: Jun 12, 2019",10000000,10/18/2017
Jonas Hector,1. FC Koln,Bundesliga,29,Defender ,1,10000000,"Last update: Jun 12, 2019",20000000,6/19/2017
Jorge Mere,1. FC Koln,Bundesliga,22,Defender ,0,10000000,"Last update: Jun 12, 2019",10000000,06/12/2019
Julian Krahl,1. FC Koln,Bundesliga,19,Position:                            Goalkeeper,7,200000,"Last update: Jun 5, 2019",200000,8/22/2018
Kingsley Ehizibue,1. FC Koln,Bundesliga,24,Defender ,0,2500000,"Last update: Oct 2, 2019",2500000,10/02/2019
Kingsley Schindler,1. FC Koln,Bundesliga,26,Forward ,0,3000000,"Last update: Jun 12, 2019",3000000,01/08/2019
Lasse Sobiech,1. FC Koln,Bundesliga,28,Defender ,0,1200000,"Last update: Oct 2, 2019",2000000,6/19/2018
Louis Schaub,1. FC Koln,Bundesliga,24,Midfielder ,1,4000000,"Last update: Jun 12, 2019",4000000,10/06/2016
